bathroom,bedroom,floor_area,lot_size,year,unit_price
2,3,60,80,2026,4530262
2,3,60,80,2026,4640756
3,3,80,104,2026,6629651
3,3,80,104,2026,6629652
3,3,80,104,2026,6629652
1,2,36,81,2024,1870000
2,2,46,60,2024,3225000
3,3,77.91,72.96,2024,4300000
3,4,90,110,2024,6219908
1,2,62.8,88,2023,2900000
1,2,62.8,88,2023,2900000
2,2,48.26,50,2023,3280000
1,1,40,85,2023,3800000
3,4,84,72,2023,3980000
3,3,74.26,80,2023,5700000
1,2,44.5,50,2022,1532000
2,3,50,50,2022,1990000
1,2,81,53,2022,3315200
2,3,79,110,2022,3500000
2,3,70,80,2022,4600000
3,4,80,64,2022,4880000
3,3,90,60,2022,5000000
2,3,75,126,2022,5100000
2,3,75,128,2022,5100000
2,4,80,120,2022,5196800
2,3,85,60,2022,5200000
2,3,104,71,2022,5600000
2,3,120,74,2022,5600000
3,3,92,86,2022,5880000
3,4,88,125,2022,5900000
2,3,78,70,2022,6500000
3,4,130,60,2022,6528000
3,4,155,60,2022,6528000
3,4,155,60,2022,6528000
3,4,115,60,2022,6528000
3,3,160,60,2022,6528000
3,4,130,60,2022,6528000
3,4,181,104,2022,6700000
3,3,135,80,2022,6700000
1,2,46,41,2021,1800000
2,3,55,80,2021,3000000
2,3,55,50,2021,3000000
2,3,55,80,2021,3200000
2,3,55,80,2021,3700000
2,2,47,49,2021,3808000
2,3,70,50,2021,4100000
2,2,53,88,2021,4278348
2,3,94,53,2021,4752480
2,3,90,60,2021,4800000
2,2,95,51,2021,4915000
3,4,85,80,2021,5195000
2,3,65,130,2021,5200000
2,3,90,80,2021,5300000
3,3,105,60,2021,5300000
3,4,130,80,2021,7000000
1,1,42,84,2020,2300000
1,3,62.5,50,2020,2624075
1,3,62.5,50,2020,2643963
1,2,42,60,2020,2800000
1,3,78.73,63,2020,2820800
1,3,78.73,63,2020,3177163
2,3,90,170,2020,3200000
2,3,99,112.5,2020,3440000
1,2,42,90,2020,3600000
1,2,52.25,80,2020,4600000
1,2,42,114,2020,4700000
2,3,94,89,2020,4859800
2,4,79,161,2020,5066901
2,2,62,62,2020,5129046
2,4,96.84,98,2020,5379890
1,2,52.25,118,2020,5600000
2,3,63,100,2020,5600000
2,3,105.45,57.6,2020,5850000
2,4,124.22,143,2020,6574890
2,3,63,137,2020,6600000
3,4,99,52,2020,6700000
1,2,85,99,2020,6955000
1,1,34,52,2019,1013431
1,1,34,52,2019,1013431
1,1,34,52,2019,1013431
1,1,34,52,2019,1013431
1,1,34,64,2019,1221933
1,1,46.6,67,2019,1700404
1,2,47.25,173.15,2019,1840808
1,2,42,60,2019,2600000
1,2,42,60,2019,2800000
1,2,42,90,2019,3050000
1,2,52.25,80,2019,4000000
1,2,52.25,80,2019,4100000
1,2,52.25,83,2019,4100000
2,3,105,60,2019,4600000
2,3,63,100,2019,4800000
1,2,63.3,96,2019,5000000
2,3,63,103,2019,5600000
2,3,63,143,2019,5800000
2,3,82.98,120,2019,5870000
3,3,185,143,2019,6000000
2,3,63,187,2019,6900000
2,3,50,60,2018,2292000
1,2,36,42,2018,2313000
1,2,40,63,2018,2973000
1,2,42,63,2018,3109000
1,2,50,79,2018,3966000
2,2,53,88,2018,4516000
2,3,66,88,2018,5078000
2,3,89,90,2018,5200000
3,4,83,99,2018,5969000
3,4,90,100,2018,6056080
3,5,100,121,2018,6975000
1,2,50,60,2017,1995000
2,3,65,60,2017,2698000
2,4,80,120,2017,3775000
1,2,36,42,2016,2153000
1,2,36,63,2016,2936000
1,2,40,63,2016,2958000
1,2,46,63,2016,3071000
3,4,110,100,2016,3472000
2,3,52,80,2016,3660160
2,2,53,88,2016,4382000
2,3,66,94,2016,5057000
2,3,72,80,2016,5299680
3,4,83,110,2016,5870000
3,5,100,121,2016,6592000
1,2,36,44,2014,2134000
1,2,40,66,2014,2883000
1,2,46,66,2014,3012000
2,2,53,88,2014,4592000
2,2,53,88,2014,4891000
2,3,66,88,2014,5210000
2,3,66,99,2014,5650000
3,4,85,99,2014,6380000
3,4,83,110,2014,6451000
1,2,36,36,2011,2094000
1,2,36,59,2011,2582000
1,2,40,54,2011,2636000
1,2,40,108,2011,4160000
1,2,66,88,2011,4328000
2,3,66,88,2011,5110000
2,3,66,131,2011,5898000
1,2,72,46,2010,3800000
1,2,36,36,2009,2198000
1,2,40,54,2009,2813000
1,2,46,60,2009,3079000
